ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto",¿Existencias?,Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición
103,simple,,"Matemáticas 1",1,0,visible,"Un texto escolar para aprender álgebra, geometría y aritmética de forma básica.","<em>Matemáticas 1</em> es un libro introductorio a los conceptos matemáticos básicos, ideal para estudiantes de secundaria. Cubre temas como álgebra, geometría y aritmética, con ejercicios prácticos para mejorar la comprensión de las matemáticas.",,,taxable,,1,,,0,0,,,,,1,,16,20,"Libros Escolares","Álgebra, Educación, Geometría, Matemáticas, Secundaria",,http://localhost/arcanum/wp-content/uploads/2024/12/Matematicas.png,,,,,,,,,0
104,simple,,"Ciencias Naturales",1,0,visible,"Introducción a la biología, física, química y geografía para estudiantes de secundaria.","<em>Ciencias Naturales</em> es un libro educativo que explora los conceptos fundamentales de la biología, la física, la química y la geografía, proporcionando una comprensión básica de cómo funciona el mundo natural y los fenómenos que nos rodean.",,,taxable,,1,,,0,0,,,,,1,,16,20,"Libros Escolares","Biología, Ciencias, Educación, Física, Química",,http://localhost/arcanum/wp-content/uploads/2024/12/Ciencias.png,,,,,,,,,0
105,simple,,"Los ríos profundos",1,0,visible,"Una obra que describe la lucha entre culturas en los Andes peruanos, desde la perspectiva de un joven indígena.","<em>Los ríos profundos</em> de José María Arguedas es una de las obras más significativas de la literatura peruana. La novela explora la lucha entre las culturas indígenas y mestizas en los Andes peruanos, presentando un retrato profundo de las tensiones sociales y étnicas.",,,taxable,,1,,,0,0,,,,,1,,,69.9,"Drama, Literatura Peruana, Novela","Andes, Arguedas, Conflicto social, Cultura peruana, Literatura peruana 11. El hablador",,http://localhost/arcanum/wp-content/uploads/2024/12/Rios.png,,,,,,,,,0
106,simple,,"El hablador",1,0,visible,"La historia de un narrador que se adentra en la cultura quechua en busca de identidad.","<em>El hablador</em> de Mario Vargas Llosa es una obra que reflexiona sobre la identidad y la cultura peruana, especialmente a través de la relación entre el narrador y los quechuas. La novela explora el mestizaje y la crisis cultural en un contexto andino.",,,taxable,,1,,,0,0,,,,,1,,,79,"Literatura Peruana, Novela","Cultura peruana, Identidad, Mestizaje, Quechua, Vargas Llosa",,http://localhost/arcanum/wp-content/uploads/2024/12/Hablador.png,,,,,,,,,0
107,simple,,"La tía Julia y el escribidor",1,0,visible,"<ul>\n 	<li>Una novela que mezcla la vida personal del autor con historias ficticias narradas por un escritor excéntrico.</li>\n 	<li></li>\n</ul>","<em>La tía Julia y el escribidor</em> es una novela escrita por Mario Vargas Llosa que combina la ficción con la autobiografía. La historia se centra en la relación del narrador con su tía Julia y los relatos de un escritor llamado Pedro Camacho, un hombre con un estilo único de narrar.",,,taxable,,1,,,0,0,,,,,1,,,79,"Drama, Literatura Peruana, Novela","Comedia, Familia, Literatura peruana, Narrativa, Vargas Llosa",,http://localhost/arcanum/wp-content/uploads/2024/12/Tia.png,,,,,,,,,0
108,simple,,"El Hobbit",1,0,visible,"La historia de Bilbo Bolsón, un hobbit que se embarca en una aventura épica con un grupo de enanos.","<em>El Hobbit</em> es una de las obras más queridas de J.R.R. Tolkien, donde se narra la aventura de Bilbo Bolsón, un hobbit que se une a un grupo de enanos en su misión para recuperar un tesoro guardado por un dragón. A lo largo de su viaje, Bilbo enfrenta desafíos, criaturas fantásticas y descubre su valor.",,,taxable,,1,,,0,0,,,,,1,,49.9,69.9,"Aventura, Fantasía, Novela","Aventura, Bilbo Bolsón, Dragón, Enanos, Fantasía, Hobbit, Tolkien",,http://localhost/arcanum/wp-content/uploads/2024/12/hobbit.png,,,,,,,,,0
109,simple,,"Harry Potter y la cámara secreta",1,0,visible,"El segundo año de Harry en Hogwarts, enfrentando secretos oscuros y criaturas peligrosas.","En <em>La cámara secreta</em>, Harry Potter regresa a su segundo año en Hogwarts, donde descubre que algo oscuro y peligroso se esconde en la escuela. Con la ayuda de sus amigos, enfrenta criaturas misteriosas y un nuevo misterio relacionado con la cámara secreta y su conexión con los eventos que ocurrieron años atrás.",,,taxable,,1,,,0,0,,,,,1,,,69.9,"Aventura, Fantasía","Aventura, Cámara Secreta, Harry Potter, Hogwarts, Magia, Misterio",,http://localhost/arcanum/wp-content/uploads/2024/12/CAmara-secreta.png,,,,,,,,,0
110,simple,,"Harry Potter y el prisionero de Azkaban",1,0,visible,"El tercer año de Harry Potter en Hogwarts, enfrentando secretos del pasado y la amenaza de Sirius Black.","<em>El prisionero de Azkaban</em> sigue a Harry en su tercer año en Hogwarts, donde se entera de que un prisionero fugado, Sirius Black, está buscando vengarse de él. A lo largo de su aventura, Harry descubre secretos del pasado de su familia y la verdadera naturaleza de Sirius.",,,taxable,,1,,,0,0,,,,,1,,49.9,69.9,"Aventura, Fantasía","Aventura, Harry Potter, Hogwarts, Magia, Prisionero de Azkaban, Sirius Black",,http://localhost/arcanum/wp-content/uploads/2024/12/Azca.png,,,,,,,,,0
111,simple,,Naruto,1,0,visible,"La historia de Naruto, un joven ninja en busca de su sueño de convertirse en Hokage.","<em>Naruto</em> es un manga y anime japonés que sigue la vida de Naruto Uzumaki, un joven ninja que aspira a convertirse en el líder de su aldea. A lo largo de la serie, enfrenta desafíos, lucha con poderosos enemigos y forma amistades profundas, mientras aprende sobre su propio destino.",,,taxable,,1,,,0,0,,,,,1,,29.9,34.9,"Acción, Comic/Manga","Aventura, Lucha, Manga, Naruto, Ninja, Shonen",,http://localhost/arcanum/wp-content/uploads/2024/12/Naruti.png,,,,,,,,,0
112,simple,,"Attack on Titan (Shingeki no Kyojin)",1,0,visible,"Un mundo asediado por gigantes, donde un grupo de jóvenes luchan por la supervivencia.","En un mundo asolado por gigantes, <em>Attack on Titan</em> sigue a Eren Jaeger y sus amigos mientras luchan por sobrevivir dentro de murallas que protegen a la humanidad. A medida que descubren secretos oscuros, la trama se convierte en una historia de traición, acción y sacrificio.",,,taxable,,1,,,0,0,,,,,1,,29.9,34.9,"Acción, Comic/Manga, Fantasía","Acción, Eren, Manga, Shingeki no Kyojin, Supervivencia, Titanes",,http://localhost/arcanum/wp-content/uploads/2024/12/atak-kiofcg.png,,,,,,,,,0
113,simple,,"Cuentos de Edgar Allan Poe",1,0,visible,"Una serie de relatos que exploran el miedo, la locura y lo sobrenatural, escritos por Edgar Allan Poe.","Los <em>Cuentos de Edgar Allan Poe</em> son una colección de relatos que exploran la oscuridad de la mente humana, el miedo a lo desconocido y lo sobrenatural. Poe es conocido por su capacidad para crear atmósferas intensas y perturbadoras, en relatos como <em>El cuervo</em>, <em>El corazón delator</em> y <em>La caída de la casa Usher</em>.",,,taxable,,1,,,0,0,,,,,1,,49.9,79,Terror,"Cuentos, Misterio, Poe, Sobrenatural, Terror",,http://localhost/arcanum/wp-content/uploads/2024/12/poe.png,,,,,,,,,0
114,simple,,"It (Eso)",1,0,visible,"Un grupo de niños enfrenta a una criatura maligna que toma la forma de un payaso aterrador llamado Pennywise.","<em>It</em> es una de las novelas más famosas de Stephen King, que relata la historia de un grupo de niños en la pequeña ciudad de Derry, Maine, quienes enfrentan a una entidad maligna que toma la forma de un payaso llamado Pennywise. El libro explora temas de miedo, amistad, y el paso del tiempo, mientras la entidad despierta cada 27 años para aterrorizar a la ciudad.",,,taxable,,1,,,0,0,,,,,1,,,79,Terror,"Horror, Miedo, Pennywise, Stephen King, Terror psicológico",,http://localhost/arcanum/wp-content/uploads/2024/12/it.png,,,,,,,,,0
